{'01044099999': -10.0, '02293099999': -27.6}
         410333 function calls (405725 primitive calls) in 7.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    143/1    0.002    0.000    7.218    7.218 {built-in method builtins.exec}
        1    0.000    0.000    7.218    7.218 load.py:1(<module>)
        1    0.002    0.002    4.755    4.755 load.py:27(download_all_data)
        2    0.001    0.001    4.753    2.377 load.py:17(download_data)
        2    0.000    0.000    4.493    2.247 api.py:62(get)
        2    0.000    0.000    4.493    2.247 api.py:14(request)
        2    0.000    0.000    4.492    2.246 sessions.py:500(request)
        2    0.000    0.000    4.461    2.230 sessions.py:673(send)
     2440    0.009    0.000    3.699    0.002 socket.py:706(readinto)
     2440    0.013    0.000    3.681    0.002 ssl.py:1237(recv_into)
     2440    0.006    0.000    3.666    0.002 ssl.py:1095(read)
     2440    3.659    0.001    3.659    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    3.401    0.567 models.py:890(content)
       22    0.014    0.001    3.401    0.155 {method 'join' of 'bytes' objects}
     1171    0.001    0.000    3.387    0.003 models.py:816(generate)
     1171    0.005    0.000    3.386    0.003 response.py:1044(stream)
     1169    0.012    0.000    3.379    0.003 response.py:916(read)
     1171    0.014    0.000    3.319    0.003 response.py:864(_raw_read)
     1310    0.024    0.000    3.286    0.003 {method 'read' of '_io.BufferedReader' objects}
     1171    0.003    0.000    3.282    0.003 response.py:807(_fp_read)
     1171    0.007    0.000    3.279    0.003 client.py:463(read)
       17    0.001    0.000    2.490    0.146 __init__.py:1(<module>)
    180/4    0.003    0.000    1.782    0.445 <frozen importlib._bootstrap>:1349(_find_and_load)
    179/4    0.002    0.000    1.781    0.445 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    167/4    0.001    0.000    1.777    0.444 <frozen importlib._bootstrap>:911(_load_unlocked)
    141/4    0.001    0.000    1.776    0.444 <frozen importlib._bootstrap_external>:989(exec_module)
    373/8    0.001    0.000    1.748    0.218 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    21/11    0.000    0.000    1.479    0.134 {built-in method builtins.__import__}
    57/32    0.000    0.000    1.416    0.044 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    1.154    0.577 api.py:1(<module>)
        1    0.000    0.000    1.108    1.108 sessions.py:1(<module>)
        1    0.000    0.000    1.105    1.105 adapters.py:1(<module>)
        1    1.069    1.069    1.069    1.069 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.000    0.000    1.059    0.529 adapters.py:613(send)
        2    0.000    0.000    1.055    0.528 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.054    0.527 connectionpool.py:377(_make_request)
        1    0.029    0.029    0.704    0.704 load.py:49(get_all_temperatures)
    33650    0.451    0.000    0.662    0.000 load.py:34(get_file_temperatures)
        2    0.000    0.000    0.611    0.305 connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    0.611    0.305 connection.py:669(connect)
        2    0.000    0.000    0.441    0.221 connection.py:485(getresponse)
        2    0.000    0.000    0.440    0.220 client.py:1384(getresponse)
        2    0.000    0.000    0.439    0.220 client.py:324(begin)
        2    0.000    0.000    0.437    0.219 client.py:291(_read_status)
       26    0.000    0.000    0.437    0.017 {method 'readline' of '_io.BufferedReader' objects}
      141    0.004    0.000    0.377    0.003 <frozen importlib._bootstrap_external>:1062(get_code)
        2    0.000    0.000    0.342    0.171 connection.py:192(_new_conn)
        2    0.000    0.000    0.342    0.171 connection.py:27(create_connection)
      141    0.001    0.000    0.318    0.002 <frozen importlib._bootstrap_external>:1183(get_data)
        2    0.308    0.154    0.308    0.154 {method 'connect' of '_socket.socket' objects}
      141    0.287    0.002    0.287    0.002 {built-in method _io.open_code}
        2    0.000    0.000    0.268    0.134 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.268    0.134 ssl_.py:390(ssl_wrap_socket)
        2    0.000    0.000    0.268    0.134 ssl_.py:488(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.268    0.134 ssl.py:449(wrap_socket)
        2    0.000    0.000    0.268    0.134 ssl.py:956(_create)
        2    0.000    0.000    0.267    0.133 ssl.py:1313(do_handshake)
        2    0.267    0.133    0.267    0.133 {method 'do_handshake' of '_ssl._SSLSocket' objects}
