{'01044099999': -10.0, '02293099999': -27.6}
         330971 function calls (326426 primitive calls) in 3.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    5.288    0.311 __init__.py:1(<module>)
    142/1    0.002    0.000    3.081    3.081 {built-in method builtins.exec}
        1    0.000    0.000    3.081    3.081 load_cache.py:1(<module>)
    179/3    0.004    0.000    2.640    0.880 <frozen importlib._bootstrap>:1349(_find_and_load)
    178/3    0.002    0.000    2.640    0.880 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    166/3    0.001    0.000    2.635    0.878 <frozen importlib._bootstrap>:911(_load_unlocked)
    140/3    0.001    0.000    2.635    0.878 <frozen importlib._bootstrap_external>:989(exec_module)
    371/6    0.001    0.000    2.625    0.437 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    20/10    0.000    0.000    1.862    0.186 {built-in method builtins.__import__}
    57/32    0.000    0.000    1.664    0.052 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  166/162    0.001    0.000    1.146    0.007 <frozen importlib._bootstrap>:806(module_from_spec)
     10/8    0.000    0.000    1.131    0.141 <frozen importlib._bootstrap_external>:1287(create_module)
     10/8    1.124    0.112    1.131    0.141 {built-in method _imp.create_dynamic}
        2    0.000    0.000    1.065    0.532 api.py:1(<module>)
        2    0.000    0.000    1.008    0.504 exceptions.py:1(<module>)
        1    0.000    0.000    0.827    0.827 sessions.py:1(<module>)
        1    0.000    0.000    0.822    0.822 adapters.py:1(<module>)
        1    0.765    0.765    0.765    0.765 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.555    0.555 client.py:1(<module>)
        1    0.000    0.000    0.475    0.475 ssl.py:1(<module>)
        1    0.017    0.017    0.440    0.440 load_cache.py:51(get_all_temperatures)
        1    0.000    0.000    0.429    0.429 connectionpool.py:1(<module>)
    33650    0.267    0.000    0.415    0.000 load_cache.py:36(get_file_temperatures)
      140    0.004    0.000    0.375    0.003 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.320    0.320 _request_methods.py:1(<module>)
      140    0.002    0.000    0.307    0.002 <frozen importlib._bootstrap_external>:1183(get_data)
        2    0.000    0.000    0.302    0.151 connection.py:1(<module>)
        3    0.000    0.000    0.299    0.100 response.py:1(<module>)
        1    0.000    0.000    0.293    0.293 compat.py:1(<module>)
      140    0.272    0.002    0.272    0.002 {built-in method _io.open_code}
        1    0.000    0.000    0.250    0.250 compat.py:18(_resolve_char_detection)
        3    0.000    0.000    0.250    0.083 __init__.py:73(import_module)
        3    0.000    0.000    0.250    0.083 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.229    0.229 cd.py:1(<module>)
        1    0.000    0.000    0.200    0.200 _base_connection.py:1(<module>)
        1    0.000    0.000    0.182    0.182 shutil.py:1(<module>)
        3    0.000    0.000    0.178    0.059 utils.py:1(<module>)
      177    0.004    0.000    0.157    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      161    0.000    0.000    0.149    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      161    0.002    0.000    0.148    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.140    0.140 ssl_.py:1(<module>)
      381    0.008    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.124    0.124 socket.py:1(<module>)
      737    0.001    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      737    0.101    0.000    0.101    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.099    0.099 queue.py:1(<module>)
        1    0.000    0.000    0.096    0.096 selectors.py:1(<module>)
        1    0.000    0.000    0.093    0.093 lzma.py:1(<module>)
        1    0.000    0.000    0.083    0.083 bz2.py:1(<module>)
        1    0.000    0.000    0.080    0.080 hashlib.py:1(<module>)
       75    0.001    0.000    0.080    0.001 __init__.py:280(_compile)
       73    0.000    0.000    0.079    0.001 __init__.py:226(compile)
       71    0.001    0.000    0.076    0.001 _compiler.py:740(compile)
        2    0.066    0.033    0.066    0.033 {built-in method _io.open}
        1    0.000    0.000    0.062    0.062 parser.py:1(<module>)
        1    0.000    0.000    0.060    0.060 feedparser.py:1(<module>)
        1    0.000    0.000    0.057    0.057 _policybase.py:1(<module>)
     1890    0.033    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
  445/441    0.012    0.000    0.044    0.000 {built-in method builtins.__build_class__}
     1467    0.001    0.000    0.043    0.000 cp1252.py:22(decode)
       71    0.000    0.000    0.042    0.001 _parser.py:969(parse)
     1467    0.041    0.000    0.041    0.000 {built-in method _codecs.charmap_decode}
   340/71    0.002    0.000    0.041    0.001 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.041    0.041 url.py:1(<module>)
   457/76    0.016    0.000    0.041    0.001 _parser.py:512(_parse)
        2    0.000    0.000    0.034    0.017 abc.py:1(<module>)
      140    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      200    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.033    0.033 cookiejar.py:1(<module>)
      184    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       71    0.000    0.000    0.033    0.000 _compiler.py:573(_code)
      140    0.031    0.000    0.031    0.000 {built-in method marshal.loads}
   828/71    0.008    0.000    0.029    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.027    0.014 request.py:1(<module>)
    67530    0.027    0.000    0.027    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.026    0.013 models.py:1(<module>)
        1    0.001    0.001    0.020    0.020 packages.py:1(<module>)
      140    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.019    0.019 header.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _common.py:1(<module>)
      140    0.018    0.000    0.018    0.000 {method 'read' of '_io.BufferedReader' objects}
    48176    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
  544/518    0.013    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FF97B2EB3D0}
      142    0.015    0.000    0.015    0.000 {method '__exit__' of '_io._IOBase' objects}
      280    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      166    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    33897    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
      178    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.011    0.011 core.py:21(where)
  141/138    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        2    0.000    0.000    0.010    0.005 readers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _common.py:33(wrapper)
      415    0.006    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.010    0.010 _common.py:51(files)
        1    0.000    0.000    0.010    0.010 _common.py:107(from_package)
        1    0.000    0.000    0.010    0.010 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.010    0.010 _adapters.py:149(_native)
        1    0.000    0.000    0.010    0.010 _adapters.py:144(_reader)
        1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.010    0.010 ssl_.py:219(create_urllib3_context)
      290    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.009    0.005 core.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ssl.py:430(__new__)
      150    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        2    0.000    0.000    0.009    0.005 _adapters.py:1(<module>)
       16    0.003    0.000    0.009    0.001 enum.py:1708(convert_class)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
       10    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
       10    0.001    0.000    0.008    0.001 enum.py:919(_convert_)
       10    0.008    0.001    0.008    0.001 {built-in method _imp.exec_dynamic}
      200    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.008    0.008 base64mime.py:1(<module>)
    81/75    0.001    0.000    0.007    0.000 typing.py:392(inner)
       16    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.007    0.007 idna.py:1(<module>)
        1    0.000    0.000    0.007    0.007 certs.py:1(<module>)
      441    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
17220/16205    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.006    0.006 filepost.py:1(<module>)
        6    0.000    0.000    0.006    0.001 typing.py:2809(__new__)
     6492    0.004    0.000    0.006    0.000 _parser.py:261(get)
        7    0.000    0.000    0.006    0.001 typing.py:2790(_make_nmtuple)
       16    0.006    0.000    0.006    0.000 {built-in method nt.listdir}
       16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     5879    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
       16    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
      153    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.004    0.004 charset.py:1(<module>)
       22    0.000    0.000    0.004    0.000 enum.py:528(__new__)
      150    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       44    0.001    0.000    0.004    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.004    0.004 _parseaddr.py:1(<module>)
     7346    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    32/26    0.000    0.000    0.004    0.000 typing.py:515(__getitem__)
      200    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     6921    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
       71    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
       26    0.000    0.000    0.004    0.000 typing.py:694(Union)
    10580    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
      200    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.004    0.004 fields.py:1(<module>)
        1    0.000    0.000    0.004    0.004 base64.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _collections.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _text.py:1(<module>)
      150    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
      280    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  910/156    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
       52    0.001    0.000    0.003    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:469(StrFormatStyle)
       16    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
     8354    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     5950    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
2286/2218    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
      200    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
       16    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        1    0.000    0.000    0.003    0.003 connection.py:114(_has_ipv6)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      157    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      312    0.002    0.000    0.002    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.002    0.002 error.py:1(<module>)
     4030    0.002    0.000    0.002    0.000 _parser.py:256(match)
        1    0.002    0.002    0.002    0.002 socket.py:221(__init__)
       24    0.000    0.000    0.002    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.002    0.002 encoders.py:1(<module>)
      140    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.002    0.002 string.py:69(__init_subclass__)
      471    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      186    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
       52    0.000    0.000    0.002    0.000 typing.py:892(__init__)
      178    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.002    0.002 message.py:135(Message)
      142    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.002    0.002 __init__.py:152(EntryPoint)
        1    0.001    0.001    0.002    0.002 errors.py:1(<module>)
      200    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      166    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       52    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 socks.py:1(<module>)
       19    0.000    0.000    0.002    0.000 typing.py:1476(__getitem__)
      478    0.000    0.000    0.002    0.000 _compiler.py:398(_simple)
     1049    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
     2196    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      337    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
        4    0.000    0.000    0.002    0.000 ssl.py:399(__new__)
      177    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
        4    0.002    0.000    0.002    0.000 {built-in method _ssl.txt2obj}
     2281    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      677    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.002    0.002 __init__.py:436(PercentStyle)
      415    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        6    0.000    0.000    0.001    0.000 typing.py:747(Optional)
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
     2007    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1246(CookieJar)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
       85    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
      160    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1519    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
     1235    0.001    0.000    0.001    0.000 _parser.py:176(append)
     1841    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
       52    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
     1403    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
     1248    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      840    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       17    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      160    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
